"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1800.1,-0.051170479,-0.070681095,-0.240719948,-0.088509707,-0.223896376,0.097672185"
"1800.2,-0.052292,-0.08374691,-0.246636066,-0.075307998,-0.227978027,0.101513253"
"1800.3,-0.052784096,-0.095877647,-0.249835644,-0.062594675,-0.229092496,0.104123993"
"1800.4,-0.052665841,-0.106920719,-0.250281963,-0.050467804,-0.227257069,0.105508493"
"1800.5,-0.051960122,-0.116739273,-0.247949276,-0.039029849,-0.222502644,0.10566971"
"1800.6,-0.050670754,-0.12520647,-0.242825661,-0.028398189,-0.214870174,0.104603787"
"1800.7,-0.048809182,-0.132208824,-0.234926376,-0.018693279,-0.204425868,0.102310944"
"1800.8,-0.046398293,-0.137647629,-0.224309597,-0.010014234,-0.191282036,0.098813594"
"1800.9,-0.04348005,-0.14144659,-0.211083088,-0.002420657,-0.175606538,0.094167164"
"1801,-0.040107857,-0.143552303,-0.195391331,0.004065646,-0.157612912,0.088455052"
"1801.1,-0.036335122,-0.143934727,-0.177401695,0.00944127,-0.137537892,0.081771592"
"1801.2,-0.032211434,-0.142585278,-0.157290611,0.013700086,-0.115623016,0.07420623"
"1801.3,-0.027771126,-0.139513493,-0.135245953,0.016827325,-0.092112652,0.065840716"
"1801.4,-0.023059975,-0.134746552,-0.111479435,0.018812897,-0.067267165,0.056760053"
"1801.5,-0.018131386,-0.128332615,-0.086234245,0.019671458,-0.041376502,0.047066223"
"1801.6,-0.01304258,-0.120342255,-0.059780273,0.019449769,-0.014757828,0.036880127"
"1801.7,-0.007850777,-0.110869408,-0.032395039,0.01821082,0.012267001,0.02632616"
"1801.8,-0.002601754,-0.100025177,-0.004343185,0.01600246,0.039401941,0.015507716"
"1801.9,0.002685417,-0.087931633,0.02413496,0.012832184,0.066394481,0.004490743"
"1802,0.008010734,-0.074717522,0.052809086,0.008668159,0.093026583,-0.006691117"
"1802.1,0.013366569,-0.060514927,0.081435528,0.003470103,0.119082347,-0.018010193"
"1802.2,0.018730033,-0.045465469,0.109731045,-0.002766,0.144311585,-0.029411695"
"1802.3,0.024040092,-0.029722214,0.137364712,-0.009974259,0.168411201,-0.040792684"
"1802.4,0.029216636,-0.013455391,0.163973179,-0.018013423,0.191034695,-0.05200379"
"1802.5,0.034164298,0.003149986,0.189186897,-0.026688712,0.211822536,-0.06287005"
"1802.6,0.038783897,0.019901276,0.212656345,-0.035784715,0.230435615,-0.073216967"
