time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
-8,1.66E-06,0,0,0,0,0
-7.9,1.72E-06,-1.12E-07,5.21E-07,-3.94E-06,-1.68E-06,7.32E-08
-7.8,2.38E-06,-1.68E-06,6.32E-06,-5.19E-05,-2.08E-05,1.10E-06
-7.7,4.15E-06,-7.17E-06,2.16E-05,-1.96E-04,-7.21E-05,4.70E-06
-7.6,1.09E-05,-1.95E-05,4.65E-05,-4.73E-04,-1.58E-04,1.26E-05
-7.5,2.23E-05,-4.19E-05,7.74E-05,-9.09E-04,-2.67E-04,2.67E-05
-7.4,3.76E-05,-7.70E-05,1.08E-04,-0.001510401,-3.78E-04,4.85E-05
-7.3,5.94E-05,-1.27E-04,1.27E-04,-0.002271458,-4.59E-04,7.96E-05
-7.2,8.64E-05,-1.92E-04,1.26E-04,-0.003170556,-4.66E-04,1.20E-04
-7.1,1.17E-04,-2.72E-04,9.13E-05,-0.004173684,-3.53E-04,1.69E-04
-7,1.53E-04,-3.67E-04,1.11E-05,-0.005236427,-6.28E-05,2.22E-04
-6.9,1.88E-04,-4.76E-04,-1.26E-04,-0.006305501,4.61E-04,2.71E-04
-6.8,2.29E-04,-5.94E-04,-3.31E-04,-0.007319145,0.001274287,3.07E-04
-6.7,2.65E-04,-7.13E-04,-6.10E-04,-0.008207071,0.002427628,3.18E-04
-6.6,2.96E-04,-8.22E-04,-9.70E-04,-0.008891417,0.003962313,2.93E-04
-6.5,3.21E-04,-9.05E-04,-0.001409929,-0.009289604,0.005909891,2.20E-04
-6.4,3.38E-04,-9.48E-04,-0.001928314,-0.00931873,0.008292206,8.26E-05
-6.3,3.43E-04,-9.37E-04,-0.002517879,-0.008900075,0.011121434,-1.40E-04
-6.2,3.41E-04,-8.62E-04,-0.003168248,-0.007962253,0.014398954,-4.74E-04
-6.1,3.35E-04,-7.14E-04,-0.003865985,-0.006442299,0.018112763,-9.48E-04
-6,3.23E-04,-4.86E-04,-0.004595139,-0.004284599,0.022233735,-0.001590926
-5.9,3.13E-04,-1.70E-04,-0.005337736,-0.0014379,0.026711187,-0.002428987
-5.8,3.09E-04,2.49E-04,-0.006074171,0.002149065,0.031468566,-0.003478677
-5.7,3.07E-04,7.90E-04,-0.006783455,0.006531807,0.036400836,-0.00474342
-5.6,3.07E-04,0.001478129,-0.00744345,0.011771657,0.041375668,-0.006211497
-5.5,3.08E-04,0.002340918,-0.008031362,0.0179325,0.04623964,-0.00785802
-5.4,3.06E-04,0.003399232,-0.008524799,0.025072959,0.050827963,-0.009650047
-5.3,3.08E-04,0.004662395,-0.008903378,0.033237822,0.054973658,-0.011551689
-5.2,3.16E-04,0.00612632,-0.009150476,0.042453895,0.058511829,-0.01352547
-5.1,3.35E-04,0.00777714,-0.009254513,0.052732969,0.061278216,-0.01552862
-5,3.71E-04,0.009596895,-0.009209389,0.064079114,0.063105892,-0.017507134
-4.9,4.23E-04,0.011566121,-0.009014278,0.076493496,0.06382635,-0.01939285
-4.8,4.87E-04,0.013660485,-0.00867345,0.089971354,0.063278154,-0.021107032
-4.7,5.74E-04,0.015843767,-0.008196718,0.104491842,0.061320284,-0.022568874
-4.6,6.79E-04,0.018063353,-0.007600441,0.120008171,0.057842444,-0.023702914
-4.5,8.09E-04,0.020253336,-0.006908368,0.136446062,0.052766236,-0.024439671
-4.4,9.61E-04,0.022344799,-0.006151431,0.153712847,0.046037743,-0.024709056
-4.3,0.001133491,0.024277264,-0.005366216,0.171710942,0.037618821,-0.02443196
-4.2,0.001315218,0.02600446,-0.004592647,0.19034634,0.027485146,-0.02351712
-4.1,0.00148732,0.027492231,-0.003871812,0.209526885,0.015633373,-0.02186616
-4,0.001633448,0.028712337,-0.003244479,0.229153193,0.002092611,-0.019383617
-3.9,0.001735814,0.029637766,-0.002750101,0.249109619,-0.01306673,-0.015986133
-3.8,0.001775072,0.030241504,-0.002425715,0.269259691,-0.029729122,-0.01160822
-3.7,0.001734049,0.030495718,-0.002304528,0.289442846,-0.047731413,-0.006207111
-3.6,0.00160138,0.030367561,-0.002414665,0.309467707,-0.06685724,2.29E-04
-3.5,0.001371284,0.02981305,-0.002778764,0.329100872,-0.086830347,0.007672323
-3.4,0.001039818,0.028776555,-0.0034144,0.348060864,-0.107315959,0.01604771
-3.3,6.09E-04,0.027202774,-0.004334196,0.366028877,-0.127938461,0.025243986
-3.2,8.18E-05,0.025058816,-0.005544187,0.38267773,-0.148312142,0.035133373
-3.1,-5.52E-04,0.022352219,-0.007040068,0.3977042,-0.16806757,0.045591953
-3,-0.001302856,0.019127966,-0.008802966,0.410839854,-0.186853312,0.056501212
-2.9,-0.002180424,0.015439065,-0.010797599,0.421825626,-0.204306846,0.067722873
-2.8,-0.003164097,0.011304977,-0.012974846,0.430360668,-0.220012279,0.079058813
-2.7,-0.004224726,0.006685068,-0.015278114,0.4360591,-0.233477824,0.090223004
-2.6,-0.005304425,0.001488281,-0.017650165,0.438449106,-0.244157812,0.100849077
-2.5,-0.006341108,-0.004382541,-0.020036492,0.437024451,-0.2515167,0.110535933
-2.4,-0.007292717,-0.010977109,-0.022383691,0.431323244,-0.255102923,0.118908244
-2.3,-0.008131886,-0.018266902,-0.02463463,0.420990582,-0.254594608,0.125658939
-2.2,-0.008842218,-0.026152688,-0.026724598,0.405794665,-0.249798054,0.130554317
-2.1,-0.009415622,-0.034498585,-0.028581564,0.385599877,-0.240614384,0.133409856
-2,-0.009845728,-0.043163529,-0.030130609,0.360330498,-0.227008914,0.134064514
-1.9,-0.010120259,-0.052007029,-0.031299394,0.329960863,-0.209011526,0.132378764
-1.8,-0.010235299,-0.060869691,-0.032021243,0.294541716,-0.186745589,0.128259173
-1.7,-0.010194245,-0.06955083,-0.032234535,0.254239758,-0.160458553,0.121688758
-1.6,-0.010019158,-0.077808057,-0.031880542,0.20935517,-0.130523794,0.112737061
-1.5,-0.009732775,-0.085384563,-0.030903091,0.160299364,-0.097407609,0.101540594
-1.4,-0.009360043,-0.092046404,-0.029251838,0.107548245,-0.061622941,0.088268749
-1.3,-0.008906122,-0.097603241,-0.026887753,0.051605858,-0.023702217,0.073102201
-1.2,-0.00837902,-0.10189977,-0.023787372,-0.006996674,0.015796046,0.056239377
-1.1,-0.007788697,-0.104790065,-0.019943126,-0.067672894,0.056262102,0.037921754
-1,-0.007158111,-0.106122314,-0.015360136,-0.129757026,0.097024605,0.018451071
-0.9,-0.006508891,-0.105754114,-0.010052754,-0.192517393,0.13737873,-0.001824385
-0.8,-0.005855777,-0.103594086,-0.004044402,-0.25521298,0.176646635,-0.022553656
-0.7,-0.005193436,-0.099642779,0.002628326,-0.31716437,0.214236901,-0.043432116
-0.6,-0.004493486,-0.09400357,0.009909776,-0.37779708,0.24966756,-0.064224482
-0.5,-0.003718921,-0.086853394,0.017721716,-0.436632596,0.282540807,-0.08474776
-0.4,-0.002841371,-0.078390105,0.025965046,-0.493237682,0.312490066,-0.104827289
-0.3,-0.001847235,-0.068787573,0.034526202,-0.547169443,0.339137008,-0.124256109
-0.2,-7.37E-04,-0.058181948,0.04328492,-0.597952646,0.362086177,-0.14278345
-0.1,4.75E-04,-0.046689477,0.052119658,-0.645101122,0.380956282,-0.160136026
0,0.001771618,-0.034435127,0.060909054,-0.688162263,0.395422703,-0.176053435
0.1,0.003142528,-0.021566604,0.06953027,-0.726746482,0.405237285,-0.190310188
0.2,0.004576486,-0.008242109,0.077852946,-0.760476571,0.410190559,-0.202698657
0.3,0.006057861,0.005394801,0.085740589,-0.78896609,0.410088373,-0.213006239
0.4,0.007544045,0.019238375,0.093057892,-0.811811632,0.404742896,-0.220998881
0.5,0.008991973,0.033222067,0.099677187,-0.828584602,0.393977237,-0.226420184
0.6,0.010356741,0.0472913,0.10548294,-0.838861689,0.377663998,-0.229019738
0.7,0.011597212,0.061360294,0.110372333,-0.842285535,0.355781539,-0.228600615
0.8,0.012697241,0.075275755,0.114252077,-0.838628235,0.328460489,-0.225063431
0.9,0.013665231,0.088807502,0.117033596,-0.827827625,0.295996119,-0.218425781
1,0.014519946,0.101673068,0.118629702,-0.809978313,0.258818813,-0.208806594
1.1,0.015285006,0.113586227,0.118955126,-0.785283017,0.217434963,-0.19638296
1.2,0.015968223,0.124308105,0.117931233,-0.753986077,0.1723652,-0.181339668
1.3,0.016551537,0.133677965,0.115493248,-0.716322706,0.124106218,-0.163834934
1.4,0.017010121,0.14161253,0.111597073,-0.672504214,0.073130362,-0.143996249
1.5,0.017311356,0.148079181,0.106222986,-0.622742071,0.019915281,-0.121943743
1.6,0.017417403,0.153062393,0.099375491,-0.567289632,-0.035019874,-0.097822983
1.7,0.017303674,0.156543825,0.091080806,-0.506473361,-0.091096301,-0.071826016
1.8,0.016959209,0.158504493,0.081384763,-0.440695731,-0.147684898,-0.0441899
1.9,0.016368465,0.158938506,0.070352942,-0.37041618,-0.204130075,-0.015180889
2,0.015530859,0.157857225,0.058072578,-0.296135872,-0.259762233,0.014914845
2.1,0.014441142,0.155268931,0.044653576,-0.218412534,-0.313880996,0.045776595
2.2,0.013133887,0.151139272,0.030225664,-0.137907522,-0.365716583,0.077013018
2.3,0.011655852,0.145358964,0.014931007,-0.055436613,-0.414400757,0.108129065
2.4,0.010093314,0.137748061,-0.001084893,0.028017993,-0.458983483,0.138527255
2.5,0.008528809,0.128107276,-0.017679338,0.111360945,-0.498506052,0.167557987
2.6,0.007040823,0.116295886,-0.034712066,0.193488654,-0.532105247,0.194602321
2.7,0.005664611,0.102295286,-0.052038804,0.273396838,-0.559098795,0.219147553
2.8,0.004404352,0.086223945,-0.069503269,0.350237133,-0.579010611,0.240817502
2.9,0.003250853,0.068300612,-0.086933058,0.423302041,-0.591534083,0.25934922
3,0.002179341,0.048785883,-0.10414223,0.491965239,-0.596468788,0.274542068
3.1,0.001182492,0.027944164,-0.12093865,0.55563162,-0.593683458,0.286221665
3.2,2.44E-04,0.006048316,-0.137130804,0.613738547,-0.583129055,0.294245643
3.3,-6.55E-04,-0.016586556,-0.152530002,0.665805293,-0.564886313,0.298541646
3.4,-0.001557152,-0.039578205,-0.166947711,0.711486238,-0.539199946,0.299141315
3.5,-0.002509018,-0.062492753,-0.180192199,0.750578666,-0.506462582,0.296175519
3.6,-0.003556207,-0.084899385,-0.192069607,0.782970678,-0.467151002,0.289826671
3.7,-0.004720754,-0.106430013,-0.202391179,0.808564251,-0.421755964,0.280269449
3.8,-0.005994727,-0.126803286,-0.210983475,0.82722945,-0.370755181,0.26764219
3.9,-0.007369646,-0.145798728,-0.217695872,0.838823643,-0.314645311,0.252068505
4,-0.008830611,-0.16320532,-0.222401708,0.843258997,-0.254002302,0.233708983
4.1,-0.010374166,-0.178789311,-0.224994056,0.840561552,-0.189516285,0.212798772
4.2,-0.012005233,-0.192309645,-0.225381645,0.830872929,-0.121967208,0.189638161
4.3,-0.01371649,-0.203570126,-0.223490143,0.814391523,-0.052155725,0.164541352
4.4,-0.015478934,-0.212464767,-0.219269253,0.791301961,0.019157448,0.137784979
4.5,-0.017245768,-0.218974995,-0.212701261,0.76175483,0.091254202,0.109600817
4.6,-0.018977069,-0.223114082,-0.203804388,0.725921843,0.163399296,0.080223867
4.7,-0.020648654,-0.224857252,-0.192627657,0.684090723,0.234765608,0.049961576
4.8,-0.022266439,-0.224111647,-0.179240611,0.63672795,0.304409659,0.019229185
4.9,-0.023853123,-0.220754306,-0.163724741,0.584455445,0.371330144,-0.011483276
5,-0.025406331,-0.21471755,-0.146172865,0.527945128,0.434582765,-0.041698498
5.1,-0.026898402,-0.206065726,-0.126697092,0.467797415,0.493383197,-0.071040044
5.2,-0.02827369,-0.195012058,-0.10543946,0.404478867,0.547136412,-0.099266041
5.3,-0.029446782,-0.181866093,-0.082577862,0.338354231,0.595382414,-0.126231447
5.4,-0.030348974,-0.166949347,-0.058322892,0.269781266,0.637704614,-0.151810919
5.5,-0.03094522,-0.150534788,-0.03290773,0.199197745,0.673668495,-0.175837924
5.6,-0.031207697,-0.132843394,-0.00657751,0.127142611,0.702829187,-0.198098698
5.7,-0.031118017,-0.114087238,0.020416029,0.054206022,0.724794115,-0.218376356
5.8,-0.030661917,-0.094516428,0.047813475,-0.01904504,0.73928783,-0.236505225
5.9,-0.029803336,-0.074430333,0.075343988,-0.092107849,0.74617234,-0.252392912
6,-0.028521383,-0.054144435,0.102724319,-0.16452525,0.745412535,-0.265996701
6.1,-0.026800702,-0.033938242,0.129663343,-0.235828263,0.737018713,-0.277275665
6.2,-0.024664466,-0.01401992,0.155870518,-0.30548608,0.721009016,-0.286154484
6.3,-0.022143978,0.005474366,0.181064254,-0.372896712,0.697412794,-0.292520487
6.4,-0.019295047,0.024456449,0.204976931,-0.4374154,0.666302242,-0.296247156
6.5,-0.016176146,0.042862308,0.227356733,-0.49839234,0.627821757,-0.297220057
6.6,-0.012841065,0.060644711,0.247968713,-0.555192193,0.582195613,-0.295346798
6.7,-0.00936152,0.077777798,0.266597218,-0.607194693,0.529720337,-0.290553473
6.8,-0.005804196,0.094255801,0.283049648,-0.653796966,0.470763051,-0.282784506
6.9,-0.002231372,0.110074634,0.297159282,-0.694437126,0.405779431,-0.272019354
7,0.00130575,0.125203794,0.308785345,-0.728636843,0.335341584,-0.258300359
