time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
-8,-1.30E-07,0,-1.53E-07,0,0,0
-7.9,-1.30E-07,0,-6.29E-07,-1.91E-06,-1.34E-06,-7.06E-08
-7.8,-3.94E-06,3.81E-06,-1.06E-05,-2.42E-05,-1.90E-05,-1.03E-06
-7.7,-1.16E-05,1.62E-05,-4.35E-05,-8.73E-05,-7.65E-05,-4.30E-06
-7.6,-2.30E-05,4.10E-05,-1.13E-04,-2.01E-04,-1.96E-04,-1.16E-05
-7.5,-4.59E-05,8.11E-05,-2.30E-04,-3.62E-04,-3.98E-04,-2.46E-05
-7.4,-7.64E-05,1.40E-04,-4.05E-04,-5.60E-04,-6.96E-04,-4.53E-05
-7.3,-1.15E-04,2.17E-04,-6.40E-04,-7.70E-04,-0.001098213,-7.48E-05
-7.2,-1.60E-04,3.15E-04,-9.37E-04,-9.59E-04,-0.00160525,-1.14E-04
-7.1,-2.06E-04,4.29E-04,-0.001289997,-0.001085008,-0.002209906,-1.63E-04
-7,-2.52E-04,5.55E-04,-0.001688633,-0.001097803,-0.002896757,-2.19E-04
-6.9,-2.94E-04,6.88E-04,-0.00211731,-9.42E-04,-0.003642432,-2.82E-04
-6.8,-3.24E-04,8.18E-04,-0.002556,-5.56E-04,-0.004416651,-3.46E-04
-6.7,-3.40E-04,9.36E-04,-0.002980862,1.22E-04,-0.00518413,-4.06E-04
-6.6,-3.43E-04,0.001028061,-0.003367577,0.00116151,-0.005906797,-4.53E-04
-6.5,-3.24E-04,0.001080513,-0.003690395,0.002629988,-0.006545308,-4.72E-04
-6.4,-2.90E-04,0.001075745,-0.003921661,0.004595766,-0.007059036,-4.49E-04
-6.3,-2.37E-04,9.96E-04,-0.004031334,0.00712071,-0.007404653,-3.70E-04
-6.2,-1.60E-04,8.24E-04,-0.003985558,0.010254826,-0.007534515,-2.24E-04
-6.1,-5.74E-05,5.42E-04,-0.003747139,0.014031353,-0.007396317,-5.64E-06
-6,8.38E-05,1.36E-04,-0.003276501,0.018463986,-0.006934688,2.82E-04
-5.9,2.75E-04,-4.05E-04,-0.002533112,0.023546053,-0.006094007,6.29E-04
-5.8,5.26E-04,-0.001089573,-0.001480732,0.029250375,-0.004821102,0.001020206
-5.7,8.47E-04,-0.00191927,-8.46E-05,0.03552879,-0.003067166,0.001433705
-5.6,0.00125872,-0.002891064,0.001683083,0.042311878,-7.90E-04,0.001841416
-5.5,0.001769889,-0.003995895,0.003842678,0.049510547,0.002044562,0.002210789
-5.4,0.00238787,-0.005218029,0.006401863,0.057021014,0.005453161,0.002508566
-5.3,0.003116477,-0.00653553,0.009350624,0.064732604,0.009432059,0.002706256
-5.2,0.003951896,-0.007922173,0.01265892,0.072535929,0.013949883,0.002785219
-5.1,0.004875053,-0.009348869,0.016274776,0.080328594,0.018946341,0.002739333
-5,0.005866874,-0.010783195,0.020129528,0.088017219,0.024334435,0.002574704
-4.9,0.006885398,-0.012193203,0.024139729,0.095516874,0.030004914,0.002307544
-4.8,0.007903922,-0.013545036,0.028210487,0.102749997,0.035831026,0.001961848
-4.7,0.008880485,-0.014805794,0.032240715,0.109645861,0.041672915,0.001567504
-4.6,0.009773124,-0.015943527,0.036126461,0.11613975,0.047382623,0.001158149
-4.5,0.010543693,-0.016930103,0.039763775,0.122170473,0.052810709,7.68E-04
-4.4,0.011157859,-0.017737865,0.043057289,0.127676046,0.057814076,4.26E-04
-4.3,0.011596549,-0.018344402,0.04592308,0.132589153,0.062263017,1.54E-04
-4.2,0.011836875,-0.018728733,0.0482901,0.136834689,0.066045895,-3.69E-05
-4.1,0.011878837,-0.018874168,0.050103512,0.140329652,0.069071382,-1.48E-04
-4,0.01171862,-0.018768787,0.051321831,0.142983847,0.071270256,-1.92E-04
-3.9,0.011375297,-0.018404484,0.051921692,0.144699665,0.072597654,-1.92E-04
-3.8,0.010864128,-0.017777443,0.051894035,0.145371518,0.073034332,-1.84E-04
-3.7,0.010223258,-0.016888142,0.051241245,0.144889483,0.072583073,-2.11E-04
-3.6,0.009479392,-0.015742302,0.049969044,0.143150653,0.071257863,-3.18E-04
-3.5,0.008651603,-0.014350414,0.048074093,0.140078002,0.069068514,-5.32E-04
-3.4,0.007751335,-0.012734413,0.045535889,0.135639126,0.066008282,-8.54E-04
-3.3,0.006770957,-0.010927677,0.04232296,0.129854889,0.062053109,-0.001254408
-3.2,0.005695213,-0.008976936,0.038401451,0.12279154,0.057174787,-0.001680855
-3.1,0.004508842,-0.006938934,0.033754673,0.114539778,0.051362192,-0.002076088
-3,0.003211845,-0.004878044,0.028393116,0.10519177,0.044639035,-0.00239458
