activation,conv_kernel_sizes,conv_layers,dropout,fc_layers,target_weights_0,target_weights_1,target_weights_2,target_weights_3,target_weights_4,loss,status,training_time
relu,"[13, 11, 9, 7]","[128,]*4",0.4252351527608186,"[512, 1024]",1.2908100315402518,1.1837895572347992,0.9499832678149032,0.8133339893721409,0.8923613381606739,0.006492392064126975,ok,4619.788360834122
relu,"[9,]*4","[64,]*4",0.20771436429707962,"[1024, 512]",1.1379164559414925,0.8568394311328263,0.5202066555495258,1.008500383893908,0.5577062191764354,0.006323809943198427,ok,1544.1157157421112
elu,"[11,]*4","[32,]*4",0.4292806097194002,"[512, 1024]",1.3897872255634143,1.4369656530412418,1.4982703666137338,0.8157844113169949,1.456870084130263,0.014141827173458011,ok,1081.7527904510498
relu,"[11, 9, 7, 5]","[128,]*4",0.18850951128160465,"[2048, 1024]",1.4876694291477637,1.2487301537502686,0.9676363884166697,0.6105597026044116,0.7723940829970268,0.004654621557040396,ok,4107.515087127686
relu,"[11, 9, 7, 5]","[256,]*4",0.17540969040322252,"[256,]*2",1.3109993744244108,1.4890189108772804,1.2929374448137145,1.389053300696485,1.2773356673738894,0.016603145456197215,ok,14663.663680553436
relu,"[13, 11, 9, 7]","[64,]*4",0.17520903311760394,"[128,]*2",0.8820951041126017,1.45463057949152,0.5821710789729205,0.69161762664242,1.2252607499669808,0.00861647360793808,ok,2023.642552614212
elu,"[7,]*4","[128,]*4",0.2087470737072673,"[1024,]*2",1.3429445766640604,1.4341462079448628,1.3248810451105464,0.803183564702254,1.20907400943078,0.009328487534623812,ok,3332.963570356369
elu,"[11,]*4","[128,]*4",0.14278576452853547,"[2048, 1024]",0.8367490451008498,1.0524535572165203,1.3329414251974558,0.6949335548961614,1.195482953853697,0.009069989643096193,ok,5057.866622209549
elu,"[11, 9, 7, 5]","[64,]*4",0.14677194615132805,"[512, 1024]",0.5921151726449337,0.8158611624895397,1.279257159938281,1.0813672271144057,0.7035699374577973,0.00795673617782692,ok,1589.3702404499054
elu,"[13, 11, 9, 7]","[8,]*4",0.3370047149723929,"[128,]*2",1.2860312513248608,1.048802203988326,1.283472594438619,0.7635591346657589,1.4150112192922628,0.017442122416789916,ok,1050.4316442012787
relu,"[5,]*4","[16,]*4",0.07414124373759448,"[2048,]*2",1.4916337673705526,0.5233161626359006,0.8327443245380916,0.518335699176576,0.9276524635455174,0.006076888861499873,ok,1066.354611158371
relu,"[11, 9, 7, 5]","[128,]*4",0.29742721397485655,"[512,]*2",0.5126157087276555,0.5567570928750716,0.7232088931422804,1.240549983430654,0.7096101539693261,0.009545542048655596,ok,3816.003762245178
relu,"[7,]*4","[16,]*4",0.04256139924837887,"[1024, 2048]",1.0739589382790795,1.2657967328345165,1.0845940478095937,0.5326188900253863,0.5894996495597902,0.003315498662071631,ok,1049.114329814911
relu,"[7,]*4","[16,]*4",0.018296314462323816,"[1024, 2048]",0.7379278535893334,0.7083066779774395,1.1454805166128996,0.5274029270310073,0.5671592460851805,0.0030042980626389824,ok,1049.8800315856934
relu,"[7,]*4","[16,]*4",0.49395182925734493,"[1024, 2048]",0.6900251338910179,0.7085213069696215,1.1715658497464696,1.4812709645250488,1.0740975479696009,0.015698770809845598,ok,1049.6774208545685
relu,"[7,]*4","[16,]*4",0.028985084657953242,"[1024, 2048]",0.7420855869913374,0.6566559129370029,0.7109371309405182,1.14406552590301,0.5074006677088989,0.008034289125170485,ok,1050.2333707809448
relu,"[9,]*4","[8,]*4",0.09279463918176221,"[2048,]*2",0.9411407735076679,0.8994004995274776,0.8592461591105076,1.2893499674565458,0.9935318330452355,0.013531221423809435,ok,1076.6533184051514
relu,"[7,]*4","[16,]*4",0.010663978064477993,"[1024, 2048]",1.0738840769584224,1.256065974577013,1.098050138816276,0.5004678822831684,0.6007244444820111,0.0032609880972635365,ok,1052.0136432647705
relu,"[7,]*4","[16,]*4",0.00030152952018136676,"[1024, 2048]",1.1279281531650738,1.1751716193559145,1.1233221160186835,0.504515291104393,0.6366393057222404,0.003558466799885911,ok,1050.9225537776947
relu,"[7,]*4","[16,]*4",0.006322053847181347,"[1024, 2048]",1.0212365126039111,1.3337401675463776,1.4497476712551423,0.9254661269524431,0.8285170431280995,0.0078085430660376366,ok,1050.2420399188995
